,n_learners,error_train,error_test,train_time
0,1,0.07999999999999996,0.08178438661710041,0.667719841003418
1,10,0.013333333333333308,0.044609665427509326,6.109950542449951
2,20,0.0033333333333332993,0.044609665427509326,12.49556016921997
3,30,0.0,0.03345724907063197,19.13195013999939
4,40,0.0,0.029739776951672847,25.277106761932373
5,50,0.0,0.03345724907063197,30.880698204040527
6,60,0.0,0.03717472118959109,35.046780586242676
7,70,0.0,0.029739776951672847,41.5359263420105
8,80,0.0,0.018587360594795488,45.52596473693848
9,90,0.0,0.018587360594795488,51.234803438186646
10,100,0.0,0.014869888475836479,57.505069732666016
11,110,0.0,0.014869888475836479,62.998558044433594
12,120,0.0,0.018587360594795488,68.76489114761353
13,130,0.0,0.022304832713754608,74.48379015922546
14,140,0.0,0.018587360594795488,80.07971978187561
15,150,0.0,0.018587360594795488,86.35186195373535
16,160,0.0,0.022304832713754608,91.99780988693237
17,170,0.0,0.022304832713754608,97.11597323417664
18,180,0.0,0.022304832713754608,103.56847667694092
19,190,0.0,0.022304832713754608,108.77976655960083
20,200,0.0,0.022304832713754608,113.61016035079956
21,210,0.0,0.022304832713754608,119.74213981628418
22,220,0.0,0.026022304832713727,125.12311911582947
23,230,0.0,0.026022304832713727,130.61425256729126
24,240,0.0,0.026022304832713727,136.68744158744812
25,250,0.0,0.022304832713754608,142.14219999313354
26,260,0.0,0.022304832713754608,147.4284553527832
27,270,0.0,0.022304832713754608,153.31219220161438
28,280,0.0,0.022304832713754608,159.69158339500427
29,290,0.0,0.018587360594795488,165.48067092895508
30,300,0.0,0.018587360594795488,171.2164409160614
31,310,0.0,0.022304832713754608,176.525639295578
32,320,0.0,0.022304832713754608,181.48026371002197
33,330,0.0,0.026022304832713727,187.4996955394745
34,340,0.0,0.018587360594795488,194.88781905174255
35,350,0.0,0.026022304832713727,208.00978469848633
36,360,0.0,0.022304832713754608,214.49578094482422
37,370,0.0,0.026022304832713727,218.43350386619568
38,380,0.0,0.029739776951672847,226.82642221450806
39,390,0.0,0.026022304832713727,239.1060130596161
40,400,0.0,0.03345724907063197,244.88238644599915
41,410,0.0,0.03345724907063197,253.08524203300476
42,420,0.0,0.03345724907063197,259.97313594818115
43,430,0.0,0.03345724907063197,264.7983090877533
44,440,0.0,0.029739776951672847,270.93059277534485
45,450,0.0,0.026022304832713727,276.5682542324066
46,460,0.0,0.029739776951672847,280.5960605144501
47,470,0.0,0.029739776951672847,289.77308082580566
48,480,0.0,0.022304832713754608,275.3606131076813
49,490,0.0,0.018587360594795488,278.8372826576233
50,500,0.0,0.022304832713754608,284.4913823604584
